,Serial Num,Day,Month,hr,holiday,weekday,Weather info,Temprature,Celsius,Humidity,windspeed,casual,registered,Count
0,1,2011-01-01,1,0,False,6,1,0.24,0.2879,0.81,0.0,3,13,16
1,2,2011-01-01,1,1,False,6,1,0.22,0.2727,0.8,0.0,8,32,40
2,3,2011-01-01,1,2,False,6,1,0.22,0.2727,0.8,0.0,5,27,32
3,4,2011-01-01,1,3,False,6,1,0.24,0.2879,0.75,0.0,3,10,13
4,5,2011-01-01,1,4,False,6,1,0.24,0.2879,0.75,0.0,0,1,1
5,6,2011-01-01,1,5,False,6,2,0.24,0.2576,0.75,0.0896,0,1,1
6,7,2011-01-01,1,6,False,6,1,0.22,0.2727,0.8,0.0,2,0,2
7,8,2011-01-01,1,7,False,6,1,0.2,0.2576,0.86,0.0,1,2,3
8,9,2011-01-01,1,8,False,6,1,0.24,,0.75,0.0,1,7,8
9,10,2011-01-01,1,9,False,6,1,0.32,0.3485,0.76,0.0,8,6,14
10,11,2011-01-01,1,10,False,6,1,0.38,0.3939,0.76,0.2537,12,24,36
11,12,2011-01-01,1,11,False,6,1,0.36,0.3333,0.81,0.2836,26,30,56
12,13,2011-01-01,1,12,False,6,1,0.42,0.4242,0.77,0.2836,29,55,84
13,14,2011-01-01,1,13,False,6,2,0.44079678099969144,0.4545,0.72,0.2985,47,47,94
14,15,2011-01-01,1,14,False,6,2,0.44079678099969144,0.4545,0.72,0.2836,35,71,106
15,16,2011-01-01,1,15,False,6,2,0.44,0.4394,0.77,0.2985,40,70,110
16,17,2011-01-01,1,16,False,6,2,0.42,0.4242,0.82,0.2985,41,52,93
17,18,2011-01-01,1,17,False,6,2,0.44,,0.82,0.2836,15,52,67
18,19,2011-01-01,1,18,False,6,3,0.42,0.4242,0.88,0.2537,9,26,35
19,20,2011-01-01,1,19,False,6,3,0.42,0.4242,0.88,0.2537,6,31,37
20,21,2011-01-01,1,20,False,6,2,0.4,0.4091,0.87,0.2537,11,25,36
21,22,2011-01-01,1,21,False,6,2,0.4,0.4091,0.87,0.194,3,31,34
22,23,2011-01-01,1,22,False,6,2,0.4,0.4091,0.94,0.2239,11,17,28
23,24,2011-01-01,1,23,False,6,2,0.44079678099969144,,0.88,0.2985,15,24,39
24,25,2011-01-02,1,0,False,0,2,0.44079678099969144,0.4545,0.88,0.2985,4,13,17
25,26,2011-01-02,1,1,False,0,2,0.44,0.4394,0.94,0.2537,1,16,17
26,27,2011-01-02,1,2,False,0,2,0.42,0.4242,1.0,0.2836,1,8,9
27,28,2011-01-02,1,3,False,0,2,0.44079678099969144,0.4545,0.94,0.194,2,4,6
28,29,2011-01-02,1,4,False,0,2,0.44079678099969144,,0.94,0.194,2,1,3
29,30,2011-01-02,1,6,False,0,3,0.42,0.4242,0.77,0.2985,0,2,2
30,31,2011-01-02,1,7,False,0,2,0.4,0.4091,0.76,0.194,0,1,1
31,32,2011-01-02,1,8,False,0,3,0.4,0.4091,0.71,0.2239,0,8,8
32,33,2011-01-02,1,9,False,0,2,0.38,,0.76,0.2239,1,19,20
33,34,2011-01-02,1,10,False,0,2,0.36,0.3485,0.81,0.2239,7,46,53
34,35,2011-01-02,1,11,False,0,2,0.36,0.3333,0.71,0.2537,16,54,70
35,36,2011-01-02,1,12,False,0,2,0.36,0.3333,0.66,0.2985,20,73,93
36,37,2011-01-02,1,13,False,0,2,0.36,0.3485,0.66,0.1343,11,64,75
